content,score,at,bank,source
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25 00:30:44,CBE,Google Play
amazing app I am used this app for one year,4,2025-05-24 16:26:43,CBE,Google Play
👍,5,2025-05-24 11:36:13,CBE,Google Play
good app,5,2025-05-24 10:06:49,CBE,Google Play
i love it 😍😘,5,2025-05-24 09:05:47,CBE,Google Play
It makes life easy!👌,5,2025-05-24 07:47:07,CBE,Google Play
its not fast,1,2025-05-24 07:02:19,CBE,Google Play
wow,4,2025-05-24 02:26:38,CBE,Google Play
it is sooo good,5,2025-05-24 02:26:18,CBE,Google Play
excellent,5,2025-05-23 21:51:52,CBE,Google Play
ok,1,2025-05-23 18:33:28,CBE,Google Play
Fantastic,5,2025-05-23 16:51:45,CBE,Google Play
accessible to using,5,2025-05-23 16:26:13,CBE,Google Play
I like it,4,2025-05-23 13:14:08,CBE,Google Play
good,5,2025-05-23 13:01:01,CBE,Google Play
why you change default network?,5,2025-05-23 11:14:51,CBE,Google Play
very nice 👍,5,2025-05-23 10:27:51,CBE,Google Play
good,5,2025-05-23 09:15:22,CBE,Google Play
nice fast app,5,2025-05-23 08:27:32,CBE,Google Play
good,5,2025-05-23 06:04:04,CBE,Google Play
best,5,2025-05-22 22:49:33,CBE,Google Play
how to I get my money,5,2025-05-22 18:43:04,CBE,Google Play
"Very bad, can't even load they need to improve their services.",1,2025-05-22 15:46:06,CBE,Google Play
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22 13:33:56,CBE,Google Play
very busy I don't know why... I prefer 889,3,2025-05-22 12:55:41,CBE,Google Play
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22 12:24:00,CBE,Google Play
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22 11:27:34,CBE,Google Play
hojii bonsaadha,5,2025-05-22 10:52:02,CBE,Google Play
ok,5,2025-05-22 10:50:33,CBE,Google Play
ok,5,2025-05-22 10:30:13,CBE,Google Play
user-friendly apps.because this app is easy.,5,2025-05-22 09:46:03,CBE,Google Play
Awosome!!!,5,2025-05-22 09:14:31,CBE,Google Play
"Very good app,",5,2025-05-22 09:09:44,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22 09:03:46,CBE,Google Play
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22 08:20:56,CBE,Google Play
I hate this app 😒,1,2025-05-22 05:27:49,CBE,Google Play
trustful,5,2025-05-22 04:00:13,CBE,Google Play
I like,5,2025-05-21 19:52:56,CBE,Google Play
update issue,4,2025-05-21 19:25:20,CBE,Google Play
its not working over safari network,1,2025-05-21 19:08:26,CBE,Google Play
oldie,1,2025-05-21 17:55:50,CBE,Google Play
it doesn't work,1,2025-05-21 13:39:04,CBE,Google Play
best,5,2025-05-21 13:18:27,CBE,Google Play
"This app is good, and we are using it well",1,2025-05-21 12:43:36,CBE,Google Play
ok,5,2025-05-21 12:41:31,CBE,Google Play
best app,5,2025-05-21 12:19:48,CBE,Google Play
best,5,2025-05-21 12:07:59,CBE,Google Play
very nice 👌 app for android phone,5,2025-05-21 10:28:54,CBE,Google Play
good app,5,2025-05-21 09:20:26,CBE,Google Play
Yes Yes,5,2025-05-21 09:01:46,CBE,Google Play
በጣም ከርፋፋ,1,2025-05-21 07:37:48,CBE,Google Play
easy to use helpful in my life,5,2025-05-21 05:23:24,CBE,Google Play
good 👍,4,2025-05-21 05:07:35,CBE,Google Play
the best mobile banking app,5,2025-05-21 05:06:37,CBE,Google Play
"this app is very useful app,it saves time,and it is secure",4,2025-05-21 04:43:38,CBE,Google Play
ok,2,2025-05-21 04:14:52,CBE,Google Play
it's a good application 👍,5,2025-05-21 03:58:52,CBE,Google Play
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21 00:02:44,CBE,Google Play
poor service,1,2025-05-20 17:22:33,CBE,Google Play
amazing,5,2025-05-20 12:28:06,CBE,Google Play
it is reliable and easy to use.,5,2025-05-20 10:50:21,CBE,Google Play
the most annoying mobile banking app I've ever seen,1,2025-05-20 10:21:51,CBE,Google Play
Cbe mobile banking,5,2025-05-20 07:12:05,CBE,Google Play
"i can't make Screenshout in this app, please made modification",5,2025-05-20 01:44:31,CBE,Google Play
Best app I loved it,5,2025-05-18 19:30:18,CBE,Google Play
nice app,5,2025-05-18 19:11:17,CBE,Google Play
wow,5,2025-05-18 09:48:55,CBE,Google Play
Amazing applicatiom sometimes doesnt work!,5,2025-05-18 09:37:20,CBE,Google Play
well satisfied with this beautiful app,5,2025-05-18 04:11:52,CBE,Google Play
very good,4,2025-05-17 14:10:29,CBE,Google Play
best app.,5,2025-05-17 09:46:51,CBE,Google Play
good,5,2025-05-17 09:43:25,CBE,Google Play
"not working,why???",5,2025-05-17 09:13:06,CBE,Google Play
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17 06:50:46,CBE,Google Play
excellent,5,2025-05-17 00:56:52,CBE,Google Play
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-16 22:00:16,CBE,Google Play
woxe harimo ribiso,5,2025-05-16 17:36:55,CBE,Google Play
good,5,2025-05-16 06:04:05,CBE,Google Play
"Good ,easy to use",5,2025-05-16 04:18:43,CBE,Google Play
Good app,5,2025-05-15 11:20:20,CBE,Google Play
Good job👍,5,2025-05-14 16:26:07,CBE,Google Play
good,5,2025-05-14 09:45:59,CBE,Google Play
nice,5,2025-05-14 09:20:48,CBE,Google Play
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14 08:14:19,CBE,Google Play
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13 12:10:52,CBE,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13 07:34:12,CBE,Google Play
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13 04:43:53,CBE,Google Play
fast and simple easy to use 👌,5,2025-05-12 08:39:56,CBE,Google Play
The fastest transferring app I ever had its so reliable,5,2025-05-11 07:03:25,CBE,Google Play
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11 04:04:05,CBE,Google Play
it's easy and fast,5,2025-05-10 06:39:25,CBE,Google Play
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10 00:15:08,CBE,Google Play
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09 13:45:30,CBE,Google Play
wow best application ever,5,2025-05-09 06:22:12,CBE,Google Play
good,5,2025-05-09 02:10:20,CBE,Google Play
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08 12:55:11,CBE,Google Play
Best,4,2025-05-08 12:35:35,CBE,Google Play
the pride of Ethiopian bank 🏦,5,2025-05-08 12:08:07,CBE,Google Play
why the app telling me to turn of developer options please fix it.,1,2025-05-07 12:54:08,CBE,Google Play
good,5,2025-05-07 10:11:00,CBE,Google Play
ok,5,2025-05-07 07:45:15,CBE,Google Play
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07 03:04:12,CBE,Google Play
ok,5,2025-05-07 02:38:53,CBE,Google Play
good,3,2025-05-06 10:38:42,CBE,Google Play
amazing apps,5,2025-05-06 09:33:35,CBE,Google Play
All service of Mobile Banking,5,2025-05-06 08:35:31,CBE,Google Play
needs improvement,1,2025-05-06 06:59:52,CBE,Google Play
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06 06:34:08,CBE,Google Play
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06 06:33:07,CBE,Google Play
good,5,2025-05-06 06:28:47,CBE,Google Play
good but these week not oky,4,2025-05-06 05:56:15,CBE,Google Play
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06 04:34:36,CBE,Google Play
Good app,5,2025-05-06 04:11:13,CBE,Google Play
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05 14:48:43,CBE,Google Play
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05 11:08:53,CBE,Google Play
CBE mobilr bankg,5,2025-05-05 07:25:29,CBE,Google Play
wow,1,2025-05-05 05:25:17,CBE,Google Play
verygood,3,2025-05-04 20:06:27,CBE,Google Play
ممتاز جدا,5,2025-05-04 13:08:37,CBE,Google Play
it's very low quality application,1,2025-05-04 12:23:40,CBE,Google Play
Very Amazing Apps,5,2025-05-04 11:03:08,CBE,Google Play
አዛ,1,2025-05-04 10:41:19,CBE,Google Play
wow simple life,5,2025-05-03 23:07:03,CBE,Google Play
it's nice,5,2025-05-03 13:32:24,CBE,Google Play
Why stacked sometimes,5,2025-05-03 07:48:40,CBE,Google Play
good app,5,2025-05-03 07:18:05,CBE,Google Play
nice,5,2025-05-03 05:54:17,CBE,Google Play
okay 👍 but sometimes busy,1,2025-05-03 05:04:28,CBE,Google Play
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03 04:10:57,CBE,Google Play
nice,5,2025-05-03 03:38:48,CBE,Google Play
Very good app. but disappointed by general cessation of system.,5,2025-05-02 14:48:08,CBE,Google Play
excellent,5,2025-05-02 14:34:09,CBE,Google Play
good,5,2025-05-02 13:46:24,CBE,Google Play
good,5,2025-05-02 11:41:21,CBE,Google Play
Good and fast,5,2025-05-02 11:26:06,CBE,Google Play
Unreliable!,1,2025-05-02 11:00:51,CBE,Google Play
Best the best fast,5,2025-05-02 10:41:29,CBE,Google Play
good app,5,2025-05-02 10:38:21,CBE,Google Play
happy,5,2025-05-02 10:21:51,CBE,Google Play
Best,5,2025-06-08 11:25:37,CBE,Google Play
20 years,5,2025-06-08 05:04:48,CBE,Google Play
A great app. It's like carrying a bank in your pocket.,4,2025-06-07 13:21:52,CBE,Google Play
More than garrantty bank EBC.,4,2025-06-07 11:21:26,CBE,Google Play
really am happy to this app it is Siple to use everything,5,2025-06-07 04:02:38,CBE,Google Play
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07 03:50:29,CBE,Google Play
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06 02:54:11,CBE,Google Play
what is this app problem???,1,2025-06-05 15:16:56,CBE,Google Play
the app is proactive and a good connections.,5,2025-06-05 08:55:10,CBE,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05 04:12:49,CBE,Google Play
good,4,2025-06-05 03:21:59,CBE,Google Play
not functional,1,2025-06-05 00:38:12,CBE,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04 14:33:36,CBE,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04 13:54:30,CBE,Google Play
best,5,2025-06-04 12:59:04,CBE,Google Play
bezabih,5,2025-06-04 11:22:41,CBE,Google Play
Best Mobile Banking app ever,5,2025-06-04 09:50:52,CBE,Google Play
good,5,2025-06-04 09:00:15,CBE,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04 08:56:02,CBE,Google Play
good,5,2025-06-04 07:59:40,CBE,Google Play
Good,5,2025-06-04 07:52:50,CBE,Google Play
👌👍,5,2025-06-04 05:43:21,CBE,Google Play
very niec,5,2025-06-04 04:21:53,CBE,Google Play
best app of finance,5,2025-06-04 00:38:54,CBE,Google Play
yetemeta,1,2025-06-03 14:04:44,CBE,Google Play
Engida Kebede Fetera,5,2025-06-03 13:20:23,CBE,Google Play
good,5,2025-06-03 04:32:52,CBE,Google Play
it is not safety,1,2025-06-03 02:14:31,CBE,Google Play
NICE bank,5,2025-06-03 01:42:36,CBE,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02 05:23:42,CBE,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02 03:40:18,CBE,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02 02:11:40,CBE,Google Play
best app,5,2025-06-01 14:16:28,CBE,Google Play
Awesome bank,5,2025-06-01 13:31:42,CBE,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31 14:21:18,CBE,Google Play
Masha alla,5,2025-05-31 07:37:05,CBE,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31 04:30:33,CBE,Google Play
better service,5,2025-05-31 00:28:05,CBE,Google Play
"it,s good app and time manager 👍",5,2025-05-30 12:13:36,CBE,Google Play
malkaamuu Jiidhaa Namoo,5,2025-05-30 08:08:04,CBE,Google Play
lower system everything,3,2025-05-30 06:45:05,CBE,Google Play
Nice!,5,2025-05-30 04:55:13,CBE,Google Play
Keep it up My CBE,5,2025-05-29 02:38:37,CBE,Google Play
yes good,5,2025-05-28 08:56:18,CBE,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27 16:47:06,CBE,Google Play
i like everything of this app,5,2025-05-27 14:34:01,CBE,Google Play
good,5,2025-05-27 10:48:15,CBE,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26 10:59:50,CBE,Google Play
Best,5,2025-05-26 08:22:54,CBE,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26 06:43:02,CBE,Google Play
nice,5,2025-05-26 06:26:26,CBE,Google Play
good job,5,2025-05-26 05:31:42,CBE,Google Play
Good,5,2025-05-25 12:44:05,CBE,Google Play
it's awesome!!,5,2025-05-25 11:13:12,CBE,Google Play
best,5,2025-05-25 10:34:23,CBE,Google Play
thankyou every one,5,2025-05-25 07:10:07,CBE,Google Play
best app,5,2025-05-25 06:35:41,CBE,Google Play
Ronaldo 🇵🇹 🥇,5,2025-05-25 05:56:24,CBE,Google Play
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25 04:51:45,CBE,Google Play
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25 03:54:25,CBE,Google Play
mortuary app,5,2025-05-25 02:23:34,CBE,Google Play
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25 00:30:44,CBE,Google Play
amazing app I am used this app for one year,4,2025-05-24 16:26:43,CBE,Google Play
👍,5,2025-05-24 11:36:13,CBE,Google Play
good app,5,2025-05-24 10:06:49,CBE,Google Play
i love it 😍😘,5,2025-05-24 09:05:47,CBE,Google Play
It makes life easy!👌,5,2025-05-24 07:47:07,CBE,Google Play
its not fast,1,2025-05-24 07:02:19,CBE,Google Play
wow,4,2025-05-24 02:26:38,CBE,Google Play
it is sooo good,5,2025-05-24 02:26:18,CBE,Google Play
excellent,5,2025-05-23 21:51:52,CBE,Google Play
ok,1,2025-05-23 18:33:28,CBE,Google Play
Fantastic,5,2025-05-23 16:51:45,CBE,Google Play
accessible to using,5,2025-05-23 16:26:13,CBE,Google Play
I like it,4,2025-05-23 13:14:08,CBE,Google Play
good,5,2025-05-23 13:01:01,CBE,Google Play
why you change default network?,5,2025-05-23 11:14:51,CBE,Google Play
very nice 👍,5,2025-05-23 10:27:51,CBE,Google Play
good,5,2025-05-23 09:15:22,CBE,Google Play
nice fast app,5,2025-05-23 08:27:32,CBE,Google Play
good,5,2025-05-23 06:04:04,CBE,Google Play
best,5,2025-05-22 22:49:33,CBE,Google Play
how to I get my money,5,2025-05-22 18:43:04,CBE,Google Play
"Very bad, can't even load they need to improve their services.",1,2025-05-22 15:46:06,CBE,Google Play
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22 13:33:56,CBE,Google Play
very busy I don't know why... I prefer 889,3,2025-05-22 12:55:41,CBE,Google Play
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22 12:24:00,CBE,Google Play
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22 11:27:34,CBE,Google Play
hojii bonsaadha,5,2025-05-22 10:52:02,CBE,Google Play
ok,5,2025-05-22 10:50:33,CBE,Google Play
ok,5,2025-05-22 10:30:13,CBE,Google Play
user-friendly apps.because this app is easy.,5,2025-05-22 09:46:03,CBE,Google Play
Awosome!!!,5,2025-05-22 09:14:31,CBE,Google Play
"Very good app,",5,2025-05-22 09:09:44,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22 09:03:46,CBE,Google Play
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22 08:20:56,CBE,Google Play
I hate this app 😒,1,2025-05-22 05:27:49,CBE,Google Play
trustful,5,2025-05-22 04:00:13,CBE,Google Play
I like,5,2025-05-21 19:52:56,CBE,Google Play
update issue,4,2025-05-21 19:25:20,CBE,Google Play
its not working over safari network,1,2025-05-21 19:08:26,CBE,Google Play
oldie,1,2025-05-21 17:55:50,CBE,Google Play
it doesn't work,1,2025-05-21 13:39:04,CBE,Google Play
best,5,2025-05-21 13:18:27,CBE,Google Play
"This app is good, and we are using it well",1,2025-05-21 12:43:36,CBE,Google Play
ok,5,2025-05-21 12:41:31,CBE,Google Play
best app,5,2025-05-21 12:19:48,CBE,Google Play
best,5,2025-05-21 12:07:59,CBE,Google Play
very nice 👌 app for android phone,5,2025-05-21 10:28:54,CBE,Google Play
good app,5,2025-05-21 09:20:26,CBE,Google Play
Yes Yes,5,2025-05-21 09:01:46,CBE,Google Play
በጣም ከርፋፋ,1,2025-05-21 07:37:48,CBE,Google Play
easy to use helpful in my life,5,2025-05-21 05:23:24,CBE,Google Play
good 👍,4,2025-05-21 05:07:35,CBE,Google Play
the best mobile banking app,5,2025-05-21 05:06:37,CBE,Google Play
"this app is very useful app,it saves time,and it is secure",4,2025-05-21 04:43:38,CBE,Google Play
ok,2,2025-05-21 04:14:52,CBE,Google Play
it's a good application 👍,5,2025-05-21 03:58:52,CBE,Google Play
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21 00:02:44,CBE,Google Play
poor service,1,2025-05-20 17:22:33,CBE,Google Play
amazing,5,2025-05-20 12:28:06,CBE,Google Play
it is reliable and easy to use.,5,2025-05-20 10:50:21,CBE,Google Play
the most annoying mobile banking app I've ever seen,1,2025-05-20 10:21:51,CBE,Google Play
Cbe mobile banking,5,2025-05-20 07:12:05,CBE,Google Play
"i can't make Screenshout in this app, please made modification",5,2025-05-20 01:44:31,CBE,Google Play
Best app I loved it,5,2025-05-18 19:30:18,CBE,Google Play
nice app,5,2025-05-18 19:11:17,CBE,Google Play
wow,5,2025-05-18 09:48:55,CBE,Google Play
Amazing applicatiom sometimes doesnt work!,5,2025-05-18 09:37:20,CBE,Google Play
well satisfied with this beautiful app,5,2025-05-18 04:11:52,CBE,Google Play
very good,4,2025-05-17 14:10:29,CBE,Google Play
best app.,5,2025-05-17 09:46:51,CBE,Google Play
good,5,2025-05-17 09:43:25,CBE,Google Play
"not working,why???",5,2025-05-17 09:13:06,CBE,Google Play
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17 06:50:46,CBE,Google Play
excellent,5,2025-05-17 00:56:52,CBE,Google Play
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-16 22:00:16,CBE,Google Play
woxe harimo ribiso,5,2025-05-16 17:36:55,CBE,Google Play
good,5,2025-05-16 06:04:05,CBE,Google Play
"Good ,easy to use",5,2025-05-16 04:18:43,CBE,Google Play
Good app,5,2025-05-15 11:20:20,CBE,Google Play
Good job👍,5,2025-05-14 16:26:07,CBE,Google Play
good,5,2025-05-14 09:45:59,CBE,Google Play
nice,5,2025-05-14 09:20:48,CBE,Google Play
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14 08:14:19,CBE,Google Play
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13 12:10:52,CBE,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13 07:34:12,CBE,Google Play
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13 04:43:53,CBE,Google Play
fast and simple easy to use 👌,5,2025-05-12 08:39:56,CBE,Google Play
The fastest transferring app I ever had its so reliable,5,2025-05-11 07:03:25,CBE,Google Play
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11 04:04:05,CBE,Google Play
it's easy and fast,5,2025-05-10 06:39:25,CBE,Google Play
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10 00:15:08,CBE,Google Play
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09 13:45:30,CBE,Google Play
